id,abbreviation,full_name,elr,lor,mileage_from_ch,mileage_to_ch,source_doc,source_page,loaded_at
29926,USY,Up Southbury,HDT,EA1170,635.0,705.0,Anglia - March 2026 Sectional Appendix.pdf,223,2026-04-28T02:36:13.135182
29927,DSY,Down Southbury,HDT,EA1170,635.0,705.0,Anglia - March 2026 Sectional Appendix.pdf,223,2026-04-28T02:36:13.135182
29928,OED,Down Enfield,HDT,EA1170,635.0,705.0,Anglia - March 2026 Sectional Appendix.pdf,223,2026-04-28T02:36:13.135182
29929,UED,Up Enfield,ENT,EA1170,750.0,855.0,Anglia - March 2026 Sectional Appendix.pdf,224,2026-04-28T02:36:13.754894
29930,DED,Down Enfield,ENT,EA1170,750.0,855.0,Anglia - March 2026 Sectional Appendix.pdf,224,2026-04-28T02:36:13.754894
29931,USY,Up Southbury,HDT,EA1190,740.0,1055.0,Anglia - March 2026 Sectional Appendix.pdf,226,2026-04-28T02:36:14.429262
29932,DSY,Down Southbury,HDT,EA1190,740.0,1055.0,Anglia - March 2026 Sectional Appendix.pdf,226,2026-04-28T02:36:14.429262
29933,USY,Up Southbury,HDT,EA1190,1085.0,1148.0,Anglia - March 2026 Sectional Appendix.pdf,227,2026-04-28T02:36:15.053504
29934,DSY,Down Southbury,HDT,EA1190,1085.0,1148.0,Anglia - March 2026 Sectional Appendix.pdf,227,2026-04-28T02:36:15.053504
29935,UC,Up Cambridge,BGK,EA1200,357.0,532.0,Anglia - March 2026 Sectional Appendix.pdf,228,2026-04-28T02:36:15.161095
29936,UCH,Up Chingford,BGK,EA1200,357.0,532.0,Anglia - March 2026 Sectional Appendix.pdf,228,2026-04-28T02:36:15.161095
29937,DHC,Down Chingford,BGK,EA1200,357.0,532.0,Anglia - March 2026 Sectional Appendix.pdf,228,2026-04-28T02:36:15.161095
29938,UGH,Up Chingford,CJC,EA1200,567.0,692.0,Anglia - March 2026 Sectional Appendix.pdf,229,2026-04-28T02:36:15.794025
29939,DCH,Down Chingford,CJC,EA1200,567.0,692.0,Anglia - March 2026 Sectional Appendix.pdf,229,2026-04-28T02:36:15.794025
29940,UC,Up Cambridge,HEB,EA1210,1475.0,1639.0,Anglia - March 2026 Sectional Appendix.pdf,231,2026-04-28T02:36:16.734748
29941,UH,Up Hertford,HEB,EA1210,1675.0,1833.0,Anglia - March 2026 Sectional Appendix.pdf,232,2026-04-28T02:36:16.791493
29942,OH,Down Heriford,HEB,EA1210,1675.0,1833.0,Anglia - March 2026 Sectional Appendix.pdf,232,2026-04-28T02:36:16.791493
29943,UH,Up Heriford,HEB,EA1210,1897.0,1939.0,Anglia - March 2026 Sectional Appendix.pdf,233,2026-04-28T02:36:16.885629
29944,DH,Down Heriford,HEB,EA1210,1897.0,1939.0,Anglia - March 2026 Sectional Appendix.pdf,233,2026-04-28T02:36:16.885629
