elr,mileage_raw,mileage_ch,mileage_decimal,type,name,easting,northing,latitude,longitude
CGJ6,20.1654,20m 75ch,20.1654,Authorised Access Point '-' Pedestrian,LANCASTER STATION,347232.0,461636.0,54.0478,-2.80602
CGJ6,20.1675,20m 76ch,20.1675,Authorised Access Point '-' Pedestrian,LANCASTER STATION,347229.0,461651.0,54.04793,-2.80607
CGJ6,20.1692,20m 77ch,20.1692,Authorised Access Point '-' Pedestrian,LANCASTER STATION,347226.0,461663.0,54.04804,-2.80612
CGJ7,0.0140,0m 06ch,0.014,Authorised Access Point '-' Pedestrian,Lancaster Station,347149.0,461874.0,54.04993,-2.80733
CGJ7,0.0140,0m 06ch,0.014,Authorised Access Point '-' Pedestrian,Lancaster Station,347146.0,461905.0,54.05021,-2.80738
CGJ7,0.0160,0m 07ch,0.016,Authorised Access Point '-' Pedestrian,Lancaster Station,347191.0,461850.0,54.04972,-2.80668
CGJ7,0.0160,0m 07ch,0.016,Authorised Access Point '-' Pedestrian,Lancaster Station,347187.0,461847.0,54.04969,-2.80674
CGJ7,0.0180,0m 08ch,0.018,Authorised Access Point '-' Pedestrian,Lancaster Station,347154.0,461943.0,54.05055,-2.80726
CGJ7,0.0180,0m 08ch,0.018,Authorised Access Point '-' Pedestrian,Lancaster Station,347151.0,461931.0,54.05044,-2.80731
CGJ7,0.0863,0m 39ch,0.0863,Authorised Access Point '-' Pedestrian,WENNING PLACE,347132.0,462580.0,54.05627,-2.80771
CGJ7,0.1474,0m 67ch,0.1474,Authorised Access Point '-' Pedestrian,EDENVALE,347063.0,463048.0,54.06047,-2.80885
CGJ7,0.1694,0m 77ch,0.1694,Authorised Access Point '-' Vehicle,ST. CHADS DRIVE,346981.0,463281.0,54.06256,-2.81014
CGJ7,1.0495,1m 22ch,1.0495,Authorised Access Point '-' Pedestrian,BARLEY COP LANE / CREM BRIDGE,346756.0,463853.0,54.06768,-2.81368
CGJ7,1.0495,1m 22ch,1.0495,Authorised Access Point '-' Vehicle,BARLEY COP LANE / CREM BRIDGE,346429.0,464436.0,54.07288,-2.81878
CGJ7,1.1363,1m 62ch,1.1363,Authorised Access Point '-' Vehicle,HASTY BROW RD. '-' BRIDGE 8,346426.0,464436.0,54.07288,-2.81882
