id,signal_box_name,signal_prefix,workstation_name,signalling_method,eco_name,eco_type,elr,lor,mileage_from_raw,mileage_from_ch,mileage_to_raw,mileage_to_ch,source_doc,source_page,loaded_at
15951,C B Litt le p o rt S B (L ):,,,T,,,BGK,EA1162,76m 27ch,6107,79m 19ch,6339,Anglia - March 2026 Sectional Appendix.pdf,215,2026-04-28T02:36:10.429727
15952,Downham Market SB,OM,,TCB,,,BGK,EA1162,81m 38ch,6518,85m 56ch,6856,Anglia - March 2026 Sectional Appendix.pdf,216,2026-04-28T02:36:10.993340
15953,Downham Market SB,OM,,TCB,Romford,AC,BGK,EA1162,86m 04ch,6884,86m 31ch,6911,Anglia - March 2026 Sectional Appendix.pdf,217,2026-04-28T02:36:11.967669
15954,Magdalen Road SB,MR,,TCB,Romford,AC,BGK,EA1162,87m 00ch,6960,91m 13ch,7293,Anglia - March 2026 Sectional Appendix.pdf,218,2026-04-28T02:36:12.081375
15955,Magdalen Road SB,MR,,TCB,Romford,AC,BGK,EA1162,92m 53ch,7413,94m 57ch,7577,Anglia - March 2026 Sectional Appendix.pdf,219,2026-04-28T02:36:12.177486
15956,Kings Lynn Jn SB (Kl):,,,TCB,Romford,AC,BGK,EA1162,96m 10ch,7690,96m 75ch,7755,Anglia - March 2026 Sectional Appendix.pdf,220,2026-04-28T02:36:12.313790
15957,Liverpool St IECC,L,,TCB,Romford,AC,BGK,EA1170,3m 04ch,244,5m 03ch,403,Anglia - March 2026 Sectional Appendix.pdf,221,2026-04-28T02:36:12.361754
15958,Liverpool St IECC,L,,TCB,Romford,AC,SSL,EA1170,5m 39ch,439,7m 11ch,571,Anglia - March 2026 Sectional Appendix.pdf,222,2026-04-28T02:36:12.510907
15959,Liverpool St IECC,L,NLL Eastern Workstation,TCB,Romford,AC,GRE,EA1180,2m 55ch,215,2m 79ch,239,Anglia - March 2026 Sectional Appendix.pdf,225,2026-04-28T02:36:13.785380
15960,Liverpool St IECC,L,,TCB,Romford,AC,HDT,EA1190,9m 20ch,740,13m 15ch,1055,Anglia - March 2026 Sectional Appendix.pdf,226,2026-04-28T02:36:14.429262
15961,Liverpool St IECC,L,,TCB,= Down Cambridge,DC,BGK,EA1200,4m 37ch,357,6m 52ch,532,Anglia - March 2026 Sectional Appendix.pdf,228,2026-04-28T02:36:15.161095
15962,Liverpool St IECC,L,,TCB,,,CJC,EA1200,7m 07ch,567,8m 52ch,692,Anglia - March 2026 Sectional Appendix.pdf,229,2026-04-28T02:36:15.794025
15963,Liverpool St IECC,L,,TCB,= Down Cambridge,DC,HEB,EA1210,18m 35ch,1475,20m 39ch,1639,Anglia - March 2026 Sectional Appendix.pdf,231,2026-04-28T02:36:16.734748
15964,Liverpool St IECC,L,,TCB,,,HEB,EA1210,20m 75ch,1675,22m 73ch,1833,Anglia - March 2026 Sectional Appendix.pdf,232,2026-04-28T02:36:16.791493
15965,Liverpool St IECC,L,,TCB,,,HEB,EA1210,23m 57ch,1897,24m 19ch,1939,Anglia - March 2026 Sectional Appendix.pdf,233,2026-04-28T02:36:16.885629
15966,Liverpool St IECC,L,,TCB,Romford,AC,TEN,EA1220,0m 00ch,0,35m 15ch,2815,Anglia - March 2026 Sectional Appendix.pdf,234,2026-04-28T02:36:17.009395
15967,Liverpool St IECC,L,,TCB,Romford,AC,TLA,EA1220,36m 67ch,2947,36m 67ch,2947,Anglia - March 2026 Sectional Appendix.pdf,235,2026-04-28T02:36:17.531221
15968,YorkROC,K,,TCB,York,AC,SBR,EA1230,45m 60ch,3660,48m 70ch,3910,Anglia - March 2026 Sectional Appendix.pdf,236,2026-04-28T02:36:17.662090
15969,C B Cambridge SB Work s ta t io n 1,CA,,T,,,SBR,EA1230,49m 37ch,3957,50m 00ch,4000,Anglia - March 2026 Sectional Appendix.pdf,237,2026-04-28T02:36:17.770594
15970,Cambridge SB Workstation 1,CA,,TCB,Romford,AC,BGK,EA1230,50m 73ch,4073,55m 51ch,4451,Anglia - March 2026 Sectional Appendix.pdf,238,2026-04-28T02:36:17.816442
15971,Liverpool St IECC,L,,TCB,Romford,AC,SDC,EA1280,4m 00ch,320,4m 45ch,365,Anglia - March 2026 Sectional Appendix.pdf,240,2026-04-28T02:36:17.946431
15972,Liverpool St IECC,S,,TCB,Romford,AC,BGK,EA1280,5m 16ch,416,7m 04ch,564,Anglia - March 2026 Sectional Appendix.pdf,241,2026-04-28T02:36:18.081231
15973,Liverpool St IECC,L,,TCB,Romford,AC,TAH2,EA1290,5m 41ch,441,5m 73ch,473,Anglia - March 2026 Sectional Appendix.pdf,242,2026-04-28T02:36:18.208918
15974,South Tottenham St Jn SB,S,,TCB,Rugby,AC,,EA1300,0m 00ch,0,0m 13ch,13,Anglia - March 2026 Sectional Appendix.pdf,243,2026-04-28T02:36:18.331116
15975,Upminster S.C.C.,NL,,TCB,Rugby,AC,BOK2,EA1310,0m 00ch,0,1m 10ch,90,Anglia - March 2026 Sectional Appendix.pdf,244,2026-04-28T02:36:18.404058
15976,Upminster SCC( NL),,,TCB,Rugby,AC,,EA1310,1m 53ch,133,1m 63ch,143,Anglia - March 2026 Sectional Appendix.pdf,245,2026-04-28T02:36:18.510786
15977,Upminster S.C.C.,NL,,TCB,Rugby,AC,BOK2,EA1310,2m 75ch,235,4m 41ch,361,Anglia - March 2026 Sectional Appendix.pdf,246,2026-04-28T02:36:18.627404
15978,Upminster S.C.C.,NL,,TCB,Rugby,AC,BOK3,EA1310,0m 00ch,0,5m 39ch,439,Anglia - March 2026 Sectional Appendix.pdf,247,2026-04-28T02:36:18.839162
15979,Acton Wells Jn SB,AW,,TCB,Rugby,AC,BOK5,EA1310,0m 34ch,34,0m 72ch,72,Anglia - March 2026 Sectional Appendix.pdf,248,2026-04-28T02:36:18.985346
